,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,acousticness,artists,energy,id,name,year,genres
11673,12049,11835,16807,10358,0.0512,Chuck Berry,0.594,5qojkHvPBrbT0Z7SAgYboD,I Got To Find My Baby - Single Version,1960,blues
11674,12050,11872,16848,10402,0.789,Nina Simone,0.353,2HbFnvwckMtdEqpOzAVufx,"Trouble in Mind - Live at the Newport Jazz Festival, Newport, RI, June 30, 1960",1960,blues
11675,12051,11885,16862,10418,0.993,Ella Fitzgerald,0.0431,0zOsDoAufc2F1GSQBa9ppn,Angel Eyes,1960,blues
11676,12052,11892,16871,10429,0.8109999999999999,Muddy Waters,0.455,2pdRmHCY8d3u4oEVLWvws2,I Feel So Good,1960,blues
11677,12053,11895,16874,10432,0.8079999999999999,Chuck Berry,0.457,7zPh4Z8fzDRL3bogNlv8Ri,Childhood Sweetheart - Single Version,1960,blues
11678,12054,11911,16892,18398,0.8490000000000001,Muddy Waters,0.613,6qh6Ik9Ujjw2VGkEFVVNVn,I Got My Brand On You - Live At Newport Jazz Festival/1960,1960,blues
11679,12055,11992,16989,18518,0.782,Muddy Waters,0.8440000000000001,2mWeBfeGMAFRWnzjxBSyFo,"Baby, Please Don't Go - Live At Newport Jazz Festival/1960",1960,blues
11680,12056,11993,16990,18519,0.589,B.B. King,0.7809999999999999,38MJsWhVpN3iNYZnvNxDZa,Whole Lotta Love,1960,blues
11681,12057,12031,17036,18570,0.805,Jimmy Reed,0.40399999999999997,3IHiCJwE3wcuvUPDeNqlDi,"Baby, What You Want Me To Do",1960,blues
11682,12058,12054,17067,26519,0.992,Ella Fitzgerald,0.0612,5hQ6kl1tI07bbphG2Jr8ic,Black Coffee,1960,blues
11683,12059,12069,17087,26540,0.5720000000000001,Muddy Waters,0.813,1tsXh39Dn2eyDvtSa0QXdS,I've Got My Mojo Working - Live At Newport Jazz Festival,1960,blues
11684,12060,12070,17088,26541,0.873,Dinah Washington,0.25,25Q5QJVBvJjxrkguly7wG3,Call Me,1960,blues
11685,12061,12075,17094,26548,0.0967,Bo Diddley,0.557,4eqT4biPUePmrSaRExE9Q9,Spanish Guitar,1960,blues
11686,12062,12087,17114,26573,0.688,Etta James,0.336,6qzHVB4x1r29BDmsEiex0v,He's Funny That Way,1960,blues
11687,12063,12095,17123,26583,0.613,Nina Simone,0.317,3DDb0Llz1mAxw9Qq3KoolQ,"Li'l Liza Jane - Live at the Newport Jazz Festival, Newport, RI, June 30, 1960",1960,blues
11688,12064,12108,17136,26597,0.82,Dinah Washington,0.261,7mi2loWXi3tAFV9Y0ZWe5d,There Goes My Heart,1960,blues
11689,12065,12117,17153,26614,0.838,John Lee Hooker,0.257,5hKvkvpH0vd3NyuCuTbZf1,No Shoes,1960,blues
11690,12066,12135,17173,26637,0.705,Bo Diddley,0.5920000000000001,3OvNccCsG0GWAIQ76WHsHl,Cops And Robbers,1960,blues
11691,12067,12136,17174,26638,0.79,Dinah Washington,0.332,3UyNLEc4CbNE9b634PVlOI,Someone To Believe In,1960,blues
11692,12068,12137,17175,26639,0.955,Furry Lewis,0.102,3htW4Ky3zoDU1KZGxVLfhz,John Henry,1960,blues
11693,12069,12178,17231,26699,0.847,Ella Fitzgerald,0.688,16zP5hp0bmWY4o2t1lHEqD,"How High The Moon - Live at the Deutschlandhalle, Berlin, 1960",1960,blues
11694,12070,12187,17243,34617,0.848,Bo Diddley,0.38,5u05DMUsThOB87BXfWeP9h,Love Me,1960,blues
11695,12071,12201,17259,34633,0.841,Muddy Waters,0.485,32jrycBSTj4n3kmOPeuABE,I'm Your Hoochie Coochie Man - Live At Newport Jazz Festival/1960,1960,blues
11696,12072,12216,17277,34652,0.7909999999999999,Nina Simone,0.373,2N7A1k6OJT12gMFNhYw0Ir,"You'd Be So Nice To Come Home To - Live at the Newport Jazz Festival, Newport, RI, June 30, 1960",1960,blues
11697,12073,12226,17291,34666,0.8029999999999999,Bo Diddley,0.684,4bg59dWBY1EzG8JHgUgHe8,The Story Of Bo Diddley,1960,blues
11698,12074,12228,17293,34668,0.993,Ella Fitzgerald,0.0391,5QnfHy9XWzw6SC5h51oqBo,One For My Baby (And One More For The Road),1960,blues
11699,12075,12242,17311,34688,0.11699999999999999,Muddy Waters,0.9209999999999999,23QBmaLbigELx64ucbM2EO,Tiger In Your Tank,1960,blues
11700,12076,12263,17335,34712,0.397,Bo Diddley,0.9470000000000001,7uygIrCRdBXc8KyXawmJsQ,Mumblin' Guitar,1960,blues
11701,12077,12268,17342,34720,0.9940000000000001,Memphis Slim,0.0868,0jrLAR535OCVUDqQUKX748,In the Evening When the Sun Goes Down,1960,blues
11702,12078,12278,17354,34732,0.83,Bo Diddley,0.7979999999999999,3saXutSldJMOBQ76hUpK0U,I Need You Baby,1960,blues
11703,12079,12292,17371,34750,0.758,Muddy Waters,0.335,7syNRB7WNZ6jwEs0cM7OaA,Southbound Train,1960,blues
11704,12080,12296,17375,34754,0.883,Muddy Waters,0.467,0y4UCDBgCMGwJKmjC8Hnnw,Soon Forgotten - Live At Newport Jazz Festival/1960,1960,blues
11705,12081,12300,17380,34760,0.943,John Lee Hooker,0.018000000000000002,2LhGDIwDaIw6auSyLtlWuY,Come On And See About Me,1960,blues
11706,12082,12308,17390,34770,0.725,Muddy Waters,0.7090000000000001,3aqmOtrmDCHAAYqvtTiEwB,I Got My Brand On You,1960,blues
11707,12083,12331,17414,34797,0.674,Muddy Waters,0.85,0Dmm0xPxoKXrSbkj2fN9EG,Tiger In Your Tank - Live At Newport Jazz Festival/1960,1960,blues
11708,12084,12336,17419,34802,0.898,Ella Fitzgerald,0.159,101Sk27MXsOSgADvoIInpk,"Summertime - Live at the Deutschlandhalle, Berlin, 1960",1960,blues
11709,12085,12349,17432,42778,0.9309999999999999,Chuck Berry,0.7859999999999999,40CEDufMDlElkfyBvWUtsE,Down The Road Apiece,1960,blues
11710,12086,12352,17436,42783,0.636,Muddy Waters,0.843,4OawaUCUuuImqCwRNeaRmZ,"Got My Mojo Working - Pt. 2 / Live At Newport Jazz Festival, 1960",1960,blues
11711,12087,12361,17448,42795,0.993,Ella Fitzgerald,0.0323,6duTFVi23vDjg3ISsh3eA2,I Can't Give You Anything But Love,1960,blues
11712,12088,12362,17449,42796,0.738,Muddy Waters,0.447,71yVjDvQpUzzPdocf3DAYo,Tell Me Baby,1960,blues
11713,12089,12373,17463,42810,0.9940000000000001,Ella Fitzgerald,0.0307,0nu7zxZuU9AeL81lSgTYnX,I'm Getting Sentimental Over You,1960,blues
11714,12090,12389,17484,42832,0.862,John Lee Hooker,0.0527,58GtPyXz1kYE7LEGJrhEEW,I'm Wanderin',1960,blues
11715,12091,12420,17524,42875,0.774,Muddy Waters,0.628,1QepT9veYgc2mv1OLPWLwE,When I Get To Thinking,1960,blues
11716,12092,12425,17531,42882,0.895,John Lee Hooker,0.102,1zLunDGKySWa7Gwsif5Ckc,No More Doggin',1960,blues
11717,12093,12448,17558,42917,0.993,Ella Fitzgerald,0.0404,6Ds5QSANhkv02oepnqdY8D,September Song,1960,blues
11718,12094,12451,17561,42920,0.812,Muddy Waters,0.33399999999999996,6hu9c0NhEhSJqtH4b1KDK8,Goodbye Newport Blues - Live At Newport Jazz Festival/1960,1960,blues
11719,12095,12457,17570,42930,0.79,Ella Fitzgerald,0.465,7M4hyIZvWc5M9rqfBxKQn7,"Gone With The Wind - Live at the Deutschlandhalle, Berlin, 1960",1960,blues
11720,12096,12465,17580,42940,0.74,John Lee Hooker,0.35200000000000004,0ay8PHNPCP2dmplYOtUJvI,Whiskey And Wimmen,1960,blues
11721,12097,12467,17583,42943,0.32799999999999996,Chuck Berry,0.478,1329OxVQDaX1fRbgBz4z9N,Worried Life Blues,1960,blues
11722,12098,12470,17588,42949,0.655,B.B. King,0.503,1UE4MovZ7CC4L25ziEKwbp,Ten Long Years - Remastered,1960,blues
11723,12099,12473,17592,42953,0.8370000000000001,Muddy Waters,0.395,1lp1zm1MSYzwt3vAPhdIMQ,Lonesome Road Blues,1960,blues
11724,12100,12475,17594,42955,0.782,Ella Fitzgerald,0.413,1poK9fKkQsJu3Eoo6OnBaY,"Lorelei - Live at the Deutschlandhalle, Berlin, 1960",1960,blues
11725,12101,12478,17597,42960,0.7929999999999999,Chuck Berry,0.622,26VeLcnNOv7iOtzb7VuHZF,Confessin' The Blues,1960,blues
11726,12102,12484,17604,42967,0.695,Elmore James,0.675,2cr2rjdV2JOz1J0prTiPOG,Shake Your Money Maker,1960,blues
11727,12103,12499,17621,50991,0.9940000000000001,Ella Fitzgerald,0.0403,47JgVF3bHEAy5MtfBl0ow6,I Cried For You,1960,blues
11728,12104,12506,17628,50998,0.797,Etta James,0.191,4dlABIhZyO8EUaRVo50LGz,Body And Soul,1960,blues
11729,12105,12513,17638,51008,0.805,Chuck Berry,0.496,63BHglFyR641M8j1pdGgel,Betty Jean,1960,blues
11730,12106,12520,17645,51015,0.924,John Lee Hooker,0.061,6IaYhUg5Vu03nPTUz4t2Fh,Democrat Man,1960,blues
11731,12107,12527,17652,51023,0.7609999999999999,Chuck Berry,0.53,70SnE9a7hQL6H067apySdF,Too Pooped To Pop - Single Version,1960,blues
11732,12108,12528,17653,51024,0.804,Ella Fitzgerald,0.516,73pY5qVYRZib6c90ybKrNX,"The Lady Is A Tramp - Live at the Deutschlandhalle, Berlin, 1960",1960,blues
11733,12109,12532,17658,51029,0.863,Dinah Washington,0.127,7auidy63VscuwuqpAt5vap,Stardust,1960,blues
11734,12110,12541,17671,51045,0.672,B.B. King,0.555,0uzkI8HZYlpfjv0KJFNmnP,Sweet Sixteen Parts 1 & 2 - Remastered,1960,blues
11735,12111,12551,17685,51060,0.606,Chuck Berry,0.5489999999999999,277NWxQbxBdp5zr6UJf7zQ,Mad Lad,1960,blues
11736,12112,12555,17690,51065,0.7609999999999999,Dinah Washington,0.436,2HVkxxDjTDslP60B5Ak2pE,Love Walked In,1960,blues
11737,12113,12559,17696,51071,0.701,Muddy Waters,0.846,2Uh8QVIKuZHcw7Swrsec3w,Meanest Woman,1960,blues
